handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
InteractiveData,Interactive Data,1238,305,1,1,588,8,41,1109
SNCFopendata,SNCF Open Data,567,350,1,1,594,65,72,1826
DigitalData,DigitalData,370,1675,1,1,960,0,2,933
VisualDataGroup,Visual_Data_Group,1344,1522,1,1,877,11,30,588
DataMiningInfo,Predictive Analytics,1546,25,0,1,595,2,64,1256
BigDataInsight,BigDataInsightGroup,665,1283,1,1,1986,1,71,2087
WhoScored,WhoScored.com,1383,15143,1,1,60,43,2188,194880
DataCtrJournal,Data Center Journal,1346,14941,1,1,517,1,102,3123
driven_data,DrivenData,1646,1218,1,1,1760,0,18,1270
BigData_Journal,Big Data,273,224,1,1,137,21,19,400
DataMinerUK,DataMinerUK,1834,2632,1,1,1111,201,394,3533
turian,Joseph Turian,2111,938,1,1,870,3329,165,2429
DaDataMonkey,Monkey,1649,13742,1,1,572,43,24,473
OpenDataAB,Open Data Alberta,392,47,1,1,52,0,4,79
data_wunder,data-wunder,1144,4379,1,1,1522,1,61,1818
rdspos,Retail Data Systems,1135,221,1,1,1330,10,7,855
VizDataVis,Viz. DataVis,135,137,0,1,206,3,8,97
revodavid,David Smith,1631,4608,0,1,703,1899,630,7860
DataSalon,DataSalon,1360,248,0,1,1110,43,5,291
Data2Dollars,Data to Dollars™,1367,1419,0,1,526,97,29,430
BigDataGeeks,Big Data Geeks,924,202,0,1,196,4,20,387
smolix,Alex Smola,1956,227,1,1,42,1,143,2673
jdidata,JDI DATA,1311,1325,1,1,1767,24,17,1211
acroll,Alistair Croll,2386,15681,1,1,5218,723,1006,12457
nyhackr,NYC Data Hackers,1120,143,1,1,70,0,45,728
TechDataGovt,Tech Data Gov/Health,780,1331,1,1,1024,84,24,915
DataGravity,DataGravity,543,19,0,1,1,0,13,256
DataTranslator,Yifu Guo,951,815,1,1,110,341,8,203
bigdata,Ben Lorica,1753,2305,1,1,87,10,1005,14681
PDBeurope,Protein Data Bank,1095,526,1,1,277,15,37,1082
DataObservatory,EUDataObservatory ,336,70,0,1,9,0,3,147
Occupy_Data,Occupy Data,616,551,0,1,152,44,24,359
OpenDataLondon,Open Data London,1206,1617,1,1,543,48,267,2523
HDScorp,Hitachi Data Systems,1920,7740,1,1,1048,13,362,8206
simplymeasured,Simply Measured,1417,3597,1,1,5219,704,808,29306
OpenDataCommons,Open Data Commons,883,26,1,1,22,0,20,225
IGotBigData,I Got Big Data,745,348,1,1,135,0,12,374
TheDataDiplomat,The Data Diplomat,977,1038,1,1,1806,4,8,1424
jeremywright,Jeremy Wright,2410,41137,1,1,7270,446,876,14321
OpenDataSites,Open Data Sites,37,16,0,1,177,3,5,93
ds_ldn,Data Science London,621,2214,1,1,243,0,200,3292
4GVoiceData,4GVoiceData,385,223,1,1,427,1,2,351
corelinkdata,Corelink Data Center,1290,387,1,1,334,0,12,617
SecureData,Secure Data Recovery,1247,780,1,1,561,98,143,15913
data1st,Data First,950,60,0,1,1749,0,2,613
matchgifts,HEP Data,533,662,0,1,1005,12,4,342
datamafia,Data Mafia,1716,154,1,1,739,0,8,638
ginger_io,Ginger.io,1123,617,0,1,481,0,136,1970
DataGovUK,UK Open Public Data,1357,386,1,1,26,0,199,2681
KWard_Data,Kelly Ward,308,281,0,1,280,20,4,134
DataParadigms,AJ,459,119,0,1,112,80,3,34
DataBackupTT,SearchDataBackup.com,182,156,0,1,131,3,7,151
opendatagarage,Open Data Garage,940,45,0,1,604,0,44,318
ICSU_WDS,World Data System,610,151,1,1,73,13,8,97
DataCenterEvent,Data Center Events,586,1445,1,1,1993,1,18,1075
DataCenterUK,Data Centre Talent,623,426,1,1,1479,0,11,799
chicagodata,Data Science Chicago,245,57,1,1,216,0,20,472
CumbriaBDC,Biodiversity Data,953,641,1,1,152,1,15,465
fivedatabackup,Online Data Backup,1475,514,1,1,187,0,7,313
DataScienceIndy,DataScience Indy,236,23,0,1,0,0,5,24
HDSANZ,Hitachi Data Systems,527,377,1,1,514,1,8,241
analyticbridge,Big Data Science,2031,10904,1,1,1664,70,589,9193
arnicas,Lynn Cherny,2337,16856,1,1,1308,2384,166,1999
DataCurtain,datacurtain,177,58,0,1,44,0,20,472
linkeddataspain,Linked Data Spain,940,236,0,1,7,0,36,334
DataWL,Data Without Limits,253,2017,1,1,5036,0,75,4890
ALNAptData,ALN Apartment Data,1353,826,1,1,702,0,19,783
DundasData,Dundas Dashboard,1672,1341,1,1,375,2926,54,812
SCDM_DataDriven,SCDM,1652,907,1,1,172,115,14,535
BigDataMining1,Big Data Mining,570,29,1,1,1,0,10,184
RSMeansData,RSMeans Cost Data,729,1779,1,1,92,6,17,415
webbmedia,Amy Webb,2185,15445,1,1,993,1836,928,9841
DataCommunityDC,Data Community DC,450,709,0,1,23,13,70,943
gaborjszabo,Gabor Szabo,1381,233,0,1,379,50,31,906
BigDataBigData,Big Data,309,336,1,1,37,78,7,359
BedrockDataSync,Bedrock Data,511,169,1,1,1927,0,19,2137
aaronkoblin,Aaron Koblin,1686,670,1,1,331,22,1094,17517
GeoDataPoint,GeoDataPoint,639,391,1,1,421,0,21,545
infoarbitrage,Roger Ehrenberg,2069,14088,0,1,251,98,1462,26148
bigdatahipster,Big Data Hipster,540,296,0,1,33,0,61,1298
Data_Anna,Anna Foster,375,213,0,1,353,1,7,230
neil_conway,Neil Conway,1557,2690,1,1,540,258,133,2114
YipitData,YipitData,889,59,1,1,6,0,22,927
_inundata,Karthik Ram,939,5781,0,1,636,3574,89,1504
DataProtecCo,Data Protection Co,1457,554,1,1,553,1,3,215
DataPartnership,The Data Partnership,919,396,1,1,620,5,5,480
LifeisData,Life Is Data,674,540,1,1,2370,3,121,2499
DimensionDataUK,Dimension Data UK,1207,1624,1,1,283,3,32,1078
ConsumerData,Consumer Data Leads,1612,277,1,1,1147,2,2,310
tonydataman,The Data Analysts,1234,3778,1,1,856,6,12,687
opensheffield,Open Data Sheffield,1071,242,1,1,352,2,40,544
IBM_DataPower,"iSOA Group, Inc",1847,1001,0,1,1872,4,243,5721
frankolken,Frank Olken,1717,15386,1,1,2001,15,93,1083
DataShaka,DataShaka,962,468,1,1,260,2,8,229
nicolastorzec,Nicolas Torzec,1534,3848,1,1,369,380,126,1430
DimensionData,Dimension Data,1451,3072,1,1,210,70,85,3851
DataCtrIndustry,DataCenterIndustry,1266,851,1,1,1791,1,42,1981
AdobeMktgCloud,Marketing Cloud,1941,7183,1,1,543,1293,2101,73193
DataLovers,Mr Data Lover ,839,2058,1,1,1011,895,37,740
mrflip,ɹǝɯoɹʞ (dılɟ) dılıɥd,2397,3503,1,1,1331,226,358,3999
paldhous,Peter Aldhous,504,1871,1,1,1177,48,126,1828
joe_hellerstein,Joe Hellerstein,1471,1269,0,1,298,97,166,3394
trifacta,Trifacta Inc.,463,12,0,1,89,0,26,914
Data_Detective,The Data Detective,1612,88528,0,1,7030,1,35,8813
ScientificData,Scientific Data,197,144,0,1,141,0,47,898
ciscoDC,Cisco Data Center,1954,5231,1,1,351,11,1184,59813
DimensionDataAU,Dimension Data AU,1375,847,1,1,82,0,16,683
DataCentreWorld,Data Centre World,703,651,1,1,1979,2,27,1644
Data_Blog,Data Journalism Blog,914,630,1,1,1979,25,288,2935
comtechefdata,Comtech EF Data,944,271,1,1,41,0,8,349
DataCenterNerd,The Datacenter Nerd,1486,807,0,1,101,9,23,1076
TechData_BE,Tech Data Belgium,1042,580,1,1,507,0,11,897
datarecblog,Data Recovery Blog,1438,98,1,1,1605,0,6,1226
VisualOfData,VisualisationOfData,192,763,1,1,960,2,6,551
DataSFBay,Data SF Bay,302,32,0,1,42,0,1,46
datamarket,DataMarket,1733,2035,1,1,433,30,553,5917
HealthDataRight,Health Data Rights,1574,11,1,1,1,0,49,551
DataRoundtable,The Data Roundtable,1287,1305,1,1,906,0,97,1940
Ediscoverycloud,Cloud-Big Data-EDD,1259,1614,1,1,707,20,10,426
opendataParis,Open Data Paris,1220,413,1,1,56,1,239,3241
IntDataCollLtd,Intelligent Data,1093,198,1,1,1908,0,4,606
myfxdataprov,My FX Data Provider,115,241,1,1,1891,0,6,635
wahalulu,Marck Vaisman,1998,755,1,1,723,17,94,1124
_opendata,Open data,858,26514,0,1,68,0,255,3062
sDataManagement,SearchDataManagement,1549,1532,1,1,431,2,102,1587
EdDataCampaign,DataQualityCampaign,1057,3695,1,1,735,270,136,3041
YarcData,YarcData,594,196,1,1,31,1,13,208
We_Do_Data,WeDoData,815,755,0,1,780,7,100,1282
GlobalDataNow,Global Data Now,987,1222,1,1,2002,5,7,896
OccupyData,Occupy Data,409,521,0,1,217,97,15,272
datameer,Datameer,1353,3962,1,1,1093,79,215,3670
OmetriaData,Ometria,225,391,1,1,1800,21,20,991
Fingal_Data_Hub,Fingal Data Hub,1339,1666,1,1,435,38,16,616
DataCiteCanada,DataCite Canada,1030,18,0,1,3,0,6,82
opendatakenya,Open Data,826,158,0,1,22,1,42,456
LovesData,Loves Data,1634,2116,1,1,79,10,162,1986
ChronicleData,Philanthropy Data,552,76,0,1,22,1,20,331
DataGRDN,Data Garden,1047,1387,1,1,726,859,39,882
nzzdata,NZZ Data,128,988,1,1,688,348,38,653
DataRecoveryNG,Disk Doctors,871,304,0,1,1947,0,5,803
BigDataBlogs,BigData Blogs,701,7484,0,1,2094,0,196,5264
data_meining,Michael Hoerz,1710,1946,1,1,711,220,52,625
AintDataButch,Butch™ wit an eye,1017,23142,1,1,872,23,5,1075
5hData,5H Data,5,885,1,1,137,512,1,214
infochimps,Infochimps,1891,3780,1,1,2769,7,785,9021
DataScienceCtrl,Data Science Central,724,276,1,1,1034,0,86,1813
bigdataplay,Big Data,663,186,1,1,1625,0,25,1370
DrDataRecovery,OntrackDataRecovery ,1728,2002,1,1,240,5,9,415
stat110,Joe Blitzstein,1138,1990,1,1,1696,0,171,3192
trendsmetadata,data about data,893,75262,0,1,1439,17,19,1450
DataCoachSays,Data Coach,378,99,1,1,0,0,6,317
DataRealms,Data Realms,1024,1117,1,1,45,3,43,1858
INFA_BD,Informatica Big Data,1241,1554,0,1,1958,6,36,921
Data_BC,Data_BC,930,1368,0,1,170,2,112,1244
DataConnectors,DataConnectors,1329,241,1,1,181,0,3,260
appcelerator,Appcelerator,2178,6996,1,1,1284,298,1357,18579
thedataday,The Data Day,1298,135,0,1,0,0,8,70
ServiceSphere,Chris Dancy,1804,24036,1,1,33,172,274,11111
ProjectOpenData,Project Open Data,505,143,1,1,50,24,191,3357
StreamDataCentr,Stream Data Centers,780,194,1,1,384,13,12,812
richmanmax,max richman,765,2627,1,1,1040,669,52,802
AELDataservices,AEL Data,804,2640,1,1,1784,691,7,743
crs_data,CRS Data,819,3638,1,1,1843,1,27,2162
DataOnWheels,Steve Hughes,876,1213,1,1,203,2,34,393
mrogati,Monica Rogati,1801,777,0,1,257,199,364,6572
TheDataAgency,The Data Agency,1669,314,1,1,308,1,7,531
MinnData,MinnPost Data,574,413,1,1,172,51,39,393
4ddatacentres,4D Data Centres Ltd,1626,206,1,1,346,0,11,349
BigDataSc,Vitaly Gordon,1287,353,0,1,93,1,11,271
dataconservancy,Data Conservancy,1442,214,1,1,10,3,37,555
dataclinicltd,Data Clinic,1589,1065,1,1,748,0,5,517
BigDataXPRT,Big Data XPRT,255,540,0,1,1627,0,36,1649
SocialDataWeek,Social Data Week,192,907,1,1,834,27,35,1793
AnaDataGirl,Ana Silva,1699,12401,1,1,170,2388,160,1541
DataVault,Data Vault Academy,1714,71,0,1,1,0,14,255
DimensionDataZA,Dimension Data ZA,1100,2424,1,1,524,13,34,2001
PortalDataCentr,PortalDataCentres,490,431,1,1,725,0,9,603
OpenDataCenters,Open Data Centers,538,157,0,1,590,3,5,428
bigdatalondon,Big Data London,870,727,0,1,85,0,47,1035
mat_kelcey,mat kelcey,1658,7073,1,1,542,763,94,1193
SamuelLeach,Sam Leach,1726,763,1,1,1091,665,16,460
SethGrimes,Seth Grimes,1812,13166,0,1,174,69,652,8305
brianabelson,brian abelson,671,1273,1,1,517,137,76,1184
LPSdata,LPS Data & Analytics,632,495,1,1,88,0,8,295
DataExpertise,ETL Solutions,1340,1339,1,1,456,0,7,444
DATA_PA,DATA,942,497,1,1,108,5,6,699
TruOptik,Tru Optik Data Corp,197,18823,1,1,528,26,27,228
UofTdatalib,Data @ UToronto,1444,340,1,1,184,5,42,332
cbredatacenters,CBRE Data Centers,1097,294,1,1,89,0,22,1331
furrier,John Furrier,2407,23005,1,1,9994,1375,968,15283
OpenDataNG,OpenData Nigeria,363,118,1,1,26,14,9,240
IBMdatamag,IBM Data Magazine,605,1693,1,1,2039,5,79,2125
Data_Diva,Vickie Young,1624,3305,1,1,748,35,34,700
DataInsightGrp,Data Insight Group,756,331,0,1,123,3,4,126
FORTRUST,FORTRUST Data Center,1133,95,1,1,123,24,6,292
crowd_data,Data Center Crowd,215,1014,1,1,712,5,12,444
ACData,Alameda County Data ,456,442,0,1,343,0,7,320
DataCentersCan,Data Centers Canada,1494,24844,1,1,7485,2,114,7062
CEICData1,CEIC Data,841,532,1,1,112,0,2,183
GoogleRetail,Google Retail Team,1679,2050,1,1,431,0,2547,86016
BigData4Finance,BigData4Finance,639,164,1,1,1,0,12,237
data_at_beta,Data at Betaworks,1185,15,0,1,11,0,4,85
AutoDataEditora,AutoData,1570,3369,1,1,144,0,45,2621
riotta,Gianni Riotta,1488,51201,1,1,870,1243,1781,140279
KevinDataMiller,Kevin Miller,483,360,0,1,76,8,2,60
CivicData,Civic Data Challenge,567,2383,1,1,1822,24,99,1635
senzari,Senzari,868,1463,1,1,1026,4,38,3177
UKBusinessData,Dee's Data Hub,1469,137,1,1,852,4,12,1262
GoogleTravel,Google Travel Team,1588,1814,1,1,1657,29,5622,211726
gilelbaz,Gil Elbaz,1708,281,1,1,1110,959,205,2988
OpenMeteoData,OpenMeteoData,270,158,0,1,75,1,10,452
TheDataDoc,Ken Colburn,1920,5441,1,1,891,79,143,2894
AdAgeDataCenter,Ad Age DataCenter,1646,175,1,1,12,0,202,2344
datasprings,"Data Springs, Inc",1093,861,1,1,778,21,32,1731
techdataNL,Tech Data Nederland,1554,1311,1,1,45,2,10,994
Ref_Data,ReferenceDataReview,1640,3385,1,1,237,0,22,551
HDMmagazine,Health Data Mgmt,1096,5065,1,1,432,3,227,6370
econdata,Economic Data,1474,7,1,1,26,0,166,6132
personaldata,Personal Data Ecosys,976,268,0,1,262,15,48,589
XzibitionData,Xzibition Data,1471,896,1,1,10,1,9,556
factual,Factual Team,1708,785,0,1,183,436,291,2782
AlmanacTrader,StockTrader'sAlmanac,1554,2039,1,1,464,27,207,5793
TechDataNTWKING,Tech Data AIS,1325,846,1,1,65,0,10,289
chartio,Chartio,1231,778,1,1,429,48,101,1269
ILElectionData,IL Election Data,541,33,0,1,1014,0,10,350
CloudDataTech,Kevin Smith,1550,4558,1,1,460,24,36,464
OpenDataChicago,Open Data Chicago,306,146,0,1,142,1,30,520
BigDataPVSW,Big Data at PVSW,710,1424,1,1,1102,0,41,924
data_entry_work,data entry,1233,2,1,0,20,0,53,6715
OpenDataWR,Open Data WR,1112,314,0,1,49,0,39,311
opendatablog,Open Data Blog,1526,360,0,1,243,0,204,1944
fhuszar,Ferenc Huszar,664,2158,1,1,383,34,104,1698
OpenCageData,OpenCage Data,158,235,1,1,51,2,12,182
EB_DATA,E&B DATA,1648,330,1,1,405,0,46,642
datastorage1,Data Backup,1623,272,1,1,2,0,4,540
InsightData,Andrew Scott,1586,3417,1,1,370,1,11,879
EMCbigdata,EMC Big Data,602,424,1,1,246,1,61,1443
TowerData,TowerData,1469,1422,1,1,850,0,12,972
AltosResearch,Altos Data Geeks,1794,1681,1,1,2393,3,209,4151
DataFactoryLA,DataFactory Latam,1219,1627,1,1,953,0,37,1820
alignedleft,Scott Murray,1798,3720,1,1,645,2792,296,4462
dataweeksf,Data 2.0,1008,2168,1,1,875,20,88,1230
DanWilsonMusic,Dan Wilson,1590,3230,1,1,449,16,269,16852
opendataeuskadi,Open Data Euskadi,1268,922,1,1,450,3,192,1981
SpringData,Spring Data Team,1037,222,0,1,18,0,98,2442
Leedsdatathing,Leeds Data Thing,268,661,1,1,658,12,15,549
datapublica,Data Publica,1063,4313,1,1,527,6,283,3883
IBM_DWAnalytics,IBM Data Warehousing,703,381,1,1,452,1,15,455
kurtosis0,Kurt Smith,1995,2533,1,1,833,629,59,1637
DataNoBorders,Data Without Borders,840,369,0,1,15,0,244,2475
AnnalynKurtz,Annalyn Kurtz,1058,4597,1,1,2100,3,220,4360
payscale,PayScale,1669,19360,1,1,15071,278,657,47397
datacenter_news,Data Center News,1342,24310,1,1,1525,0,65,3638
BigDataDownload,@BigDataDownload,188,265,1,1,17,0,42,1087
MEDIN_marine,MEDIN - marine data,1141,99,1,1,321,1,6,230
HSCICOpenData,HSCIC Open Data,247,302,1,1,400,6,13,394
DiDataCloud,Dimension Data Cloud,547,2946,1,1,2374,0,54,2156
zenithzon82,Data Nerd Z,234,2501,1,1,790,57,7,3115
C7DataCenters,C7 Data Centers,1557,46,1,1,997,0,48,1342
data_monkey,Neil Charles,1689,4037,1,1,756,90,31,768
foodgenius,Food Genius,1270,3345,1,1,2102,87,103,2279
wearedatadepot,Data Depot,891,524,1,1,1389,0,9,1402
datarealty,Data Realty,979,175,1,1,247,10,1,159
dataCommando,Nate Anderson,1612,603,1,1,113,5,1,67
visualisingdata,Andy Kirk,1262,9421,1,1,302,53,1015,10905
DataTactics,Data Tactics Corp,812,1226,1,1,1337,208,13,552
xamat,Xavier Amatriain,2194,13183,1,1,246,17,234,2707
maslett,Matt Aslett,1703,6303,0,1,273,13,255,3935
jobsinbigdata,Big Data Careers,407,1746,1,1,1964,0,9,401
PretzelData,Yohan Vetteth,853,122,0,1,226,3,3,235
XzibitionData,Xzibition Data,1471,896,1,1,10,1,9,556
1800287225inOZ,CBL Data Recovery AU,1136,3578,1,1,2001,366,27,600
globaldatavault,Global Data Vault,1525,1281,1,1,221,1,13,676
iguana2,ASX Data Vendor,1578,198,0,1,121,2,16,469
DataGenetics,DataGenetics,632,640,1,1,228,5,39,1124
DataRush,Pervasive DataRush,1556,2445,1,1,1068,1,98,1386
XtremeData,XtremeData,1542,600,1,1,285,2,64,598
CCR_Data,CCR Data Ltd,1683,602,1,1,1623,0,7,558
DataStax,DataStax,1277,2175,1,1,881,72,305,6592
ogrisel,Olivier Grisel,1866,5774,1,1,985,189,470,5376
BigDataAnalysis,John Akred,1065,402,1,1,609,36,116,1284
FingalOpenData,Fingal Open Data,1057,627,1,1,102,32,41,744
DataRemixed,Ben Jones,782,1243,0,1,1160,833,87,1347
DataScienceGeek,Juan Villanueva,665,1413,1,1,110,5,7,240
MrDataFerret,PublicDataFerret,1301,1360,1,1,579,8,61,590
mortardata,Mortar Data,905,1669,1,1,446,22257,77,1395
DataBeatles,Data Beatles,1516,1166,1,1,613,8,13,4242
col_data,Columbian Data Desk,570,399,0,1,86,1,9,89
DataXu,DataXu,1490,1649,1,1,1676,15,271,5191
ModularDataCntr,SmartCube,1795,231,1,1,827,1,7,618
dhgisme,danielle gould,1352,8900,1,1,1081,144,440,6364
1010data,1010data,1574,448,0,1,1457,21,66,1484
NulData_Info,プロ野球ヌルデータ置き場,1339,52768,1,1,0,40,377,9637
techdata_es,Tech Data España,1151,853,1,1,144,0,31,1251
usdatacorp,US Data Corporation,1367,1457,1,1,148,37,3,607
Data_Tips,Data Tips,172,18,1,1,10,9,43,2493
Planet_Rawr,Elisha's on Furlough,1861,45035,1,1,7300,5215,308,9800
Datacentrespace,Data Centre Space,1330,125,0,1,167,0,20,814
prognosysdata,Prognosys Data,1148,585,0,1,307,0,2,864
AmericasCupData,America's Cup Data,471,156,0,1,0,0,6,207
AdmarDataUK,AdmarDataUK,882,838,1,1,1891,2,9,975
Data_News,Data News,957,182,0,1,84,1,24,274
BigDataJobsCom,Big Data Jobs,205,448,0,1,461,1,19,408
data18,data18,1270,1626,0,1,1265,1,14,1825
PsychDataGeek,Heathen,401,26248,1,1,843,19171,17,783
lidrc,Linked Data Research,1578,74,1,1,65,0,54,713
UKGovLD,Linked Data Group,590,125,0,1,604,2,39,631
LocalDataCo,Local Data Company,1104,1038,1,1,106,0,11,777
IGTCloud,IGTCloud Big Data,1676,3871,0,1,272,31,37,782
DataCentersBlog,DataCentersBlog,1230,1094,1,1,2899,0,83,3573
smediadata,Social Media Data,119,185,1,1,1993,11,8,651
sccdata,StockCharts Data,433,898,1,1,3,0,6,200
LATdatadesk,The Data Desk,1769,3070,1,1,1,0,318,3028
BruceData,Bruce Data Base,506,54,0,1,251,0,12,503
UkConduit,Data Value Architect,596,1060,1,1,303,0,2,207
LINZLDS,LINZ Data Service,850,351,1,1,190,8,11,310
DelawareGIS,DE Geo. Data Comm.,1479,736,0,1,26,0,44,459
MySocialData,My Social Database,262,79,1,1,2517,8,18,5511
thedjlist_data,The DJ List Data,1091,10118,0,1,2,0,23,979
DataDiva,Jennifer Borgioli,2072,30744,1,1,1545,248,169,3488
SwissBigData,Big Data User Group,513,231,0,1,32,0,6,228
cqrcDataMine,The Data Mine,528,70,0,1,200,0,28,500
DataHQ,Data HQ Ltd,1520,2604,1,1,1974,0,29,1446
defect_data,DƎF3CT DΛTΛ ,1141,1927,1,1,794,32,62,13539
DataCenterBlogs,Data Center Blogs,1263,23183,0,1,73,0,48,1666
